python3 08_dqn_rainbow.py --cuda
83521: done 110 games, mean reward -21.000, speed 79.62 f/s
84282: done 111 games, mean reward -21.000, speed 79.85 f/s
85044: done 112 games, mean reward -21.000, speed 80.24 f/s
85806: done 113 games, mean reward -21.000, speed 79.86 f/s
86564: done 114 games, mean reward -21.000, speed 80.06 f/s
87322: done 115 games, mean reward -21.000, speed 79.85 f/s
88081: done 116 games, mean reward -21.000, speed 79.60 f/s
88839: done 117 games, mean reward -21.000, speed 79.44 f/s
89602: done 118 games, mean reward -21.000, speed 79.47 f/s
90361: done 119 games, mean reward -21.000, speed 79.31 f/s
91123: done 120 games, mean reward -21.000, speed 79.07 f/s
91881: done 121 games, mean reward -21.000, speed 79.51 f/s
92637: done 122 games, mean reward -21.000, speed 79.11 f/s
93396: done 123 games, mean reward -21.000, speed 79.50 f/s
94158: done 124 games, mean reward -21.000, speed 79.40 f/s
94919: done 125 games, mean reward -21.000, speed 79.45 f/s
95679: done 126 games, mean reward -21.000, speed 79.16 f/s
96438: done 127 games, mean reward -21.000, speed 79.53 f/s
97199: done 128 games, mean reward -21.000, speed 79.45 f/s
97957: done 129 games, mean reward -21.000, speed 79.87 f/s
98719: done 130 games, mean reward -21.000, speed 79.62 f/s
99477: done 131 games, mean reward -21.000, speed 80.05 f/s
100240: done 132 games, mean reward -21.000, speed 79.61 f/s
101000: done 133 games, mean reward -21.000, speed 78.77 f/s
101761: done 134 games, mean reward -21.000, speed 78.47 f/s
102607: done 135 games, mean reward -21.000, speed 78.46 f/s
103450: done 136 games, mean reward -21.000, speed 78.21 f/s
104229: done 137 games, mean reward -21.000, speed 78.42 f/s
105051: done 138 games, mean reward -21.000, speed 78.02 f/s
105930: done 139 games, mean reward -21.000, speed 78.24 f/s
106709: done 140 games, mean reward -21.000, speed 76.43 f/s
107705: done 141 games, mean reward -20.980, speed 76.29 f/s
108526: done 142 games, mean reward -20.980, speed 77.38 f/s
109282: done 143 games, mean reward -20.980, speed 77.15 f/s
110045: done 144 games, mean reward -20.980, speed 77.46 f/s
110958: done 145 games, mean reward -20.970, speed 77.27 f/s
111902: done 146 games, mean reward -20.970, speed 77.17 f/s
112661: done 147 games, mean reward -20.970, speed 80.86 f/s
113424: done 148 games, mean reward -20.970, speed 81.69 f/s
114372: done 149 games, mean reward -20.970, speed 80.75 f/s
115189: done 150 games, mean reward -20.970, speed 80.79 f/s
116011: done 151 games, mean reward -20.970, speed 81.56 f/s
116770: done 152 games, mean reward -20.970, speed 81.42 f/s
117652: done 153 games, mean reward -20.970, speed 81.37 f/s
118473: done 154 games, mean reward -20.970, speed 82.26 f/s
119375: done 155 games, mean reward -20.960, speed 78.17 f/s
120196: done 156 games, mean reward -20.960, speed 77.84 f/s
120957: done 157 games, mean reward -20.960, speed 78.32 f/s
121779: done 158 games, mean reward -20.960, speed 77.86 f/s
122537: done 159 games, mean reward -20.960, speed 78.32 f/s
123482: done 160 games, mean reward -20.960, speed 77.87 f/s
124239: done 161 games, mean reward -20.960, speed 78.14 f/s
124998: done 162 games, mean reward -20.960, speed 78.17 f/s
125816: done 163 games, mean reward -20.960, speed 78.32 f/s
126573: done 164 games, mean reward -20.960, speed 77.90 f/s
127458: done 165 games, mean reward -20.960, speed 77.69 f/s
128277: done 166 games, mean reward -20.960, speed 77.90 f/s
129036: done 167 games, mean reward -20.960, speed 77.73 f/s
129842: done 168 games, mean reward -20.960, speed 77.61 f/s
130602: done 169 games, mean reward -20.960, speed 77.54 f/s
131425: done 170 games, mean reward -20.960, speed 77.67 f/s
132263: done 171 games, mean reward -20.950, speed 77.65 f/s
133081: done 172 games, mean reward -20.950, speed 78.42 f/s
133922: done 173 games, mean reward -20.940, speed 77.76 f/s
134872: done 174 games, mean reward -20.930, speed 77.95 f/s
135748: done 175 games, mean reward -20.920, speed 78.03 f/s
136570: done 176 games, mean reward -20.920, speed 78.26 f/s
137468: done 177 games, mean reward -20.910, speed 78.01 f/s
138229: done 178 games, mean reward -20.910, speed 78.59 f/s
139128: done 179 games, mean reward -20.900, speed 77.59 f/s
139884: done 180 games, mean reward -20.900, speed 77.77 f/s
140729: done 181 games, mean reward -20.900, speed 78.07 f/s
141625: done 182 games, mean reward -20.890, speed 77.64 f/s
142403: done 183 games, mean reward -20.890, speed 77.72 f/s
143244: done 184 games, mean reward -20.880, speed 77.76 f/s
