92756: done 111 games, mean reward -20.500, speed 5.35 f/s
93575: done 112 games, mean reward -20.500, speed 5.33 f/s
94483: done 113 games, mean reward -20.510, speed 5.34 f/s
95257: done 114 games, mean reward -20.510, speed 5.34 f/s
96046: done 115 games, mean reward -20.520, speed 5.34 f/s
96886: done 116 games, mean reward -20.510, speed 5.33 f/s
97708: done 117 games, mean reward -20.510, speed 5.33 f/s
98530: done 118 games, mean reward -20.510, speed 5.35 f/s
99369: done 119 games, mean reward -20.500, speed 5.33 f/s
100147: done 120 games, mean reward -20.500, speed 5.33 f/s
100924: done 121 games, mean reward -20.510, speed 5.31 f/s
101684: done 122 games, mean reward -20.520, speed 5.31 f/s
102564: done 123 games, mean reward -20.530, speed 5.30 f/s
103320: done 124 games, mean reward -20.540, speed 5.30 f/s
104220: done 125 games, mean reward -20.530, speed 5.29 f/s
105134: done 126 games, mean reward -20.530, speed 5.31 f/s
105954: done 127 games, mean reward -20.540, speed 5.29 f/s
106791: done 128 games, mean reward -20.530, speed 5.29 f/s
107627: done 129 games, mean reward -20.520, speed 5.29 f/s
108447: done 130 games, mean reward -20.530, speed 5.29 f/s
109287: done 131 games, mean reward -20.520, speed 5.31 f/s
110107: done 132 games, mean reward -20.520, speed 5.29 f/s
110884: done 133 games, mean reward -20.520, speed 5.27 f/s
111641: done 134 games, mean reward -20.520, speed 5.29 f/s
112463: done 135 games, mean reward -20.520, speed 5.27 f/s
113285: done 136 games, mean reward -20.530, speed 5.28 f/s
114145: done 137 games, mean reward -20.530, speed 5.29 f/s
115007: done 138 games, mean reward -20.520, speed 5.28 f/s
115862: done 139 games, mean reward -20.510, speed 5.29 f/s
116782: done 140 games, mean reward -20.510, speed 5.27 f/s
117544: done 141 games, mean reward -20.510, speed 5.28 f/s
118304: done 142 games, mean reward -20.510, speed 5.28 f/s
119064: done 143 games, mean reward -20.520, speed 5.28 f/s
119880: done 144 games, mean reward -20.530, speed 5.27 f/s
120716: done 145 games, mean reward -20.530, speed 5.29 f/s
121474: done 146 games, mean reward -20.530, speed 5.28 f/s
122291: done 147 games, mean reward -20.540, speed 5.29 f/s
123047: done 148 games, mean reward -20.550, speed 5.25 f/s
123868: done 149 games, mean reward -20.550, speed 5.28 f/s
124741: done 150 games, mean reward -20.560, speed 5.26 f/s
125583: done 151 games, mean reward -20.560, speed 5.27 f/s
126371: done 152 games, mean reward -20.560, speed 5.27 f/s
127194: done 153 games, mean reward -20.560, speed 5.27 f/s
128015: done 154 games, mean reward -20.570, speed 5.27 f/s
128793: done 155 games, mean reward -20.570, speed 5.28 f/s
129597: done 156 games, mean reward -20.570, speed 5.27 f/s
130416: done 157 games, mean reward -20.570, speed 5.28 f/s
131236: done 158 games, mean reward -20.570, speed 5.27 f/s
131993: done 159 games, mean reward -20.580, speed 5.27 f/s
132816: done 160 games, mean reward -20.580, speed 5.26 f/s
133573: done 161 games, mean reward -20.590, speed 5.27 f/s
134452: done 162 games, mean reward -20.600, speed 5.28 f/s
135272: done 163 games, mean reward -20.610, speed 5.27 f/s
136124: done 164 games, mean reward -20.620, speed 5.21 f/s
136884: done 165 games, mean reward -20.620, speed 4.93 f/s
137706: done 166 games, mean reward -20.620, speed 4.81 f/s
138491: done 167 games, mean reward -20.620, speed 4.73 f/s
139369: done 168 games, mean reward -20.620, speed 5.25 f/s
140128: done 169 games, mean reward -20.620, speed 5.20 f/s
140960: done 170 games, mean reward -20.610, speed 4.70 f/s
141783: done 171 games, mean reward -20.610, speed 5.05 f/s
142748: done 172 games, mean reward -20.620, speed 4.94 f/s
143577: done 173 games, mean reward -20.620, speed 5.12 f/s
144339: done 174 games, mean reward -20.620, speed 5.25 f/s
145239: done 175 games, mean reward -20.620, speed 5.24 f/s
146058: done 176 games, mean reward -20.630, speed 5.20 f/s
146938: done 177 games, mean reward -20.630, speed 5.23 f/s
147821: done 178 games, mean reward -20.640, speed 5.26 f/s
148702: done 179 games, mean reward -20.640, speed 5.24 f/s
149518: done 180 games, mean reward -20.650, speed 5.22 f/s
150280: done 181 games, mean reward -20.660, speed 5.19 f/s
151040: done 182 games, mean reward -20.670, speed 5.20 f/s
151875: done 183 games, mean reward -20.660, speed 5.27 f/s
152711: done 184 games, mean reward -20.660, speed 5.23 f/s
