python3 03_dqn_double.py --cuda --double
103522: done 89 games, mean reward -18.820, speed 149.16 f/s, eps 0.02
105673: done 90 games, mean reward -18.711, speed 147.80 f/s, eps 0.02
108401: done 91 games, mean reward -18.604, speed 146.92 f/s, eps 0.02
110590: done 92 games, mean reward -18.522, speed 149.34 f/s, eps 0.02
113039: done 93 games, mean reward -18.430, speed 149.31 f/s, eps 0.02
115326: done 94 games, mean reward -18.330, speed 146.32 f/s, eps 0.02
116939: done 95 games, mean reward -18.337, speed 145.90 f/s, eps 0.02
118870: done 96 games, mean reward -18.302, speed 146.51 f/s, eps 0.02
120043: done 97 games, mean reward -18.330, speed 145.30 f/s, eps 0.02
122524: done 98 games, mean reward -18.245, speed 147.28 f/s, eps 0.02
125162: done 99 games, mean reward -18.141, speed 147.19 f/s, eps 0.02
127354: done 100 games, mean reward -18.090, speed 147.32 f/s, eps 0.02
129816: done 101 games, mean reward -18.050, speed 147.05 f/s, eps 0.02
132772: done 102 games, mean reward -17.920, speed 148.26 f/s, eps 0.02
134953: done 103 games, mean reward -17.910, speed 147.09 f/s, eps 0.02
137402: done 104 games, mean reward -17.840, speed 148.36 f/s, eps 0.02
140975: done 105 games, mean reward -17.660, speed 148.03 f/s, eps 0.02
143505: done 106 games, mean reward -17.580, speed 148.17 f/s, eps 0.02
145767: done 107 games, mean reward -17.510, speed 147.79 f/s, eps 0.02
148381: done 108 games, mean reward -17.440, speed 147.18 f/s, eps 0.02
151156: done 109 games, mean reward -17.410, speed 146.49 f/s, eps 0.02
153977: done 110 games, mean reward -17.300, speed 145.34 f/s, eps 0.02
156858: done 111 games, mean reward -17.190, speed 149.50 f/s, eps 0.02
160635: done 112 games, mean reward -17.030, speed 155.61 f/s, eps 0.02
162927: done 113 games, mean reward -16.960, speed 154.08 f/s, eps 0.02
166377: done 114 games, mean reward -16.860, speed 159.54 f/s, eps 0.02
169698: done 115 games, mean reward -16.730, speed 165.61 f/s, eps 0.02
173523: done 116 games, mean reward -16.550, speed 166.05 f/s, eps 0.02
175552: done 117 games, mean reward -16.490, speed 165.74 f/s, eps 0.02
177751: done 118 games, mean reward -16.440, speed 162.57 f/s, eps 0.02
180494: done 119 games, mean reward -16.370, speed 163.79 f/s, eps 0.02
183830: done 120 games, mean reward -16.250, speed 155.09 f/s, eps 0.02
186563: done 121 games, mean reward -16.230, speed 147.96 f/s, eps 0.02
189066: done 122 games, mean reward -16.190, speed 145.18 f/s, eps 0.02
192576: done 123 games, mean reward -16.070, speed 145.59 f/s, eps 0.02
197283: done 124 games, mean reward -15.860, speed 146.19 f/s, eps 0.02
200891: done 125 games, mean reward -15.730, speed 142.26 f/s, eps 0.02
203362: done 126 games, mean reward -15.690, speed 145.23 f/s, eps 0.02
206803: done 127 games, mean reward -15.590, speed 146.62 f/s, eps 0.02
210456: done 128 games, mean reward -15.490, speed 148.47 f/s, eps 0.02
212937: done 129 games, mean reward -15.440, speed 147.28 f/s, eps 0.02
217903: done 130 games, mean reward -15.270, speed 147.94 f/s, eps 0.02
221142: done 131 games, mean reward -15.200, speed 148.03 f/s, eps 0.02
224584: done 132 games, mean reward -15.120, speed 147.30 f/s, eps 0.02
228730: done 133 games, mean reward -14.960, speed 145.31 f/s, eps 0.02
233653: done 134 games, mean reward -14.800, speed 144.30 f/s, eps 0.02
236214: done 135 games, mean reward -14.760, speed 147.25 f/s, eps 0.02
240090: done 136 games, mean reward -14.680, speed 145.75 f/s, eps 0.02
244554: done 137 games, mean reward -14.570, speed 148.02 f/s, eps 0.02
249614: done 138 games, mean reward -14.390, speed 143.24 f/s, eps 0.02
254219: done 139 games, mean reward -14.230, speed 141.04 f/s, eps 0.02
258164: done 140 games, mean reward -14.000, speed 147.13 f/s, eps 0.02
262427: done 141 games, mean reward -13.860, speed 143.87 f/s, eps 0.02
266864: done 142 games, mean reward -13.660, speed 143.61 f/s, eps 0.02
271390: done 143 games, mean reward -13.450, speed 143.11 f/s, eps 0.02
275850: done 144 games, mean reward -13.320, speed 145.32 f/s, eps 0.02
279288: done 145 games, mean reward -13.160, speed 146.64 f/s, eps 0.02
283754: done 146 games, mean reward -12.990, speed 143.98 f/s, eps 0.02
287288: done 147 games, mean reward -12.730, speed 145.28 f/s, eps 0.02
291586: done 148 games, mean reward -12.560, speed 145.48 f/s, eps 0.02
296275: done 149 games, mean reward -12.300, speed 145.91 f/s, eps 0.02
300395: done 150 games, mean reward -12.130, speed 145.42 f/s, eps 0.02
303853: done 151 games, mean reward -11.840, speed 145.78 f/s, eps 0.02
307626: done 152 games, mean reward -11.550, speed 145.97 f/s, eps 0.02
311814: done 153 games, mean reward -11.360, speed 144.88 f/s, eps 0.02
315485: done 154 games, mean reward -11.100, speed 146.46 f/s, eps 0.02
319029: done 155 games, mean reward -10.950, speed 144.14 f/s, eps 0.02
322103: done 156 games, mean reward -10.840, speed 143.25 f/s, eps 0.02
326147: done 157 games, mean reward -10.680, speed 142.43 f/s, eps 0.02
329575: done 158 games, mean reward -10.410, speed 141.90 f/s, eps 0.02
332747: done 159 games, mean reward -10.170, speed 147.90 f/s, eps 0.02
336301: done 160 games, mean reward -9.900, speed 146.89 f/s, eps 0.02
338966: done 161 games, mean reward -9.560, speed 146.51 f/s, eps 0.02
341782: done 162 games, mean reward -9.320, speed 150.86 f/s, eps 0.02
344567: done 163 games, mean reward -9.040, speed 156.09 f/s, eps 0.02
348514: done 164 games, mean reward -8.850, speed 143.93 f/s, eps 0.02
351592: done 165 games, mean reward -8.590, speed 146.02 f/s, eps 0.02
354448: done 166 games, mean reward -8.270, speed 144.04 f/s, eps 0.02
357200: done 167 games, mean reward -8.030, speed 143.24 f/s, eps 0.02
359407: done 168 games, mean reward -7.700, speed 140.47 f/s, eps 0.02
362339: done 169 games, mean reward -7.390, speed 146.45 f/s, eps 0.02
364824: done 170 games, mean reward -7.070, speed 148.34 f/s, eps 0.02
367589: done 171 games, mean reward -6.740, speed 147.44 f/s, eps 0.02
370133: done 172 games, mean reward -6.430, speed 144.96 f/s, eps 0.02
372630: done 173 games, mean reward -6.100, speed 144.91 f/s, eps 0.02
374815: done 174 games, mean reward -5.760, speed 146.74 f/s, eps 0.02
377539: done 175 games, mean reward -5.470, speed 148.20 f/s, eps 0.02
380148: done 176 games, mean reward -5.160, speed 146.90 f/s, eps 0.02
382907: done 177 games, mean reward -4.860, speed 146.76 f/s, eps 0.02
385164: done 178 games, mean reward -4.580, speed 145.83 f/s, eps 0.02
387159: done 179 games, mean reward -4.230, speed 142.28 f/s, eps 0.02
389796: done 180 games, mean reward -3.920, speed 144.36 f/s, eps 0.02
