PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
14: reward:  13.00, mean_100:  13.00, episodes: 1
41: reward:  26.00, mean_100:  19.50, episodes: 2
59: reward:  17.00, mean_100:  18.67, episodes: 3
81: reward:  21.00, mean_100:  19.25, episodes: 4
94: reward:  12.00, mean_100:  17.80, episodes: 5
110: reward:  15.00, mean_100:  17.33, episodes: 6
127: reward:  16.00, mean_100:  17.14, episodes: 7
148: reward:  20.00, mean_100:  17.50, episodes: 8
161: reward:  12.00, mean_100:  16.89, episodes: 9
171: reward:   9.00, mean_100:  16.10, episodes: 10
184: reward:  12.00, mean_100:  15.73, episodes: 11
206: reward:  21.00, mean_100:  16.17, episodes: 12
221: reward:  14.00, mean_100:  16.00, episodes: 13
243: reward:  21.00, mean_100:  16.36, episodes: 14
256: reward:  12.00, mean_100:  16.07, episodes: 15
271: reward:  14.00, mean_100:  15.94, episodes: 16
301: reward:  29.00, mean_100:  16.71, episodes: 17
321: reward:  19.00, mean_100:  16.83, episodes: 18
337: reward:  15.00, mean_100:  16.74, episodes: 19
353: reward:  15.00, mean_100:  16.65, episodes: 20
364: reward:  10.00, mean_100:  16.33, episodes: 21
399: reward:  34.00, mean_100:  17.14, episodes: 22
414: reward:  14.00, mean_100:  17.00, episodes: 23
433: reward:  18.00, mean_100:  17.04, episodes: 24
443: reward:   9.00, mean_100:  16.72, episodes: 25
458: reward:  14.00, mean_100:  16.62, episodes: 26
478: reward:  19.00, mean_100:  16.70, episodes: 27
513: reward:  34.00, mean_100:  17.32, episodes: 28
532: reward:  18.00, mean_100:  17.34, episodes: 29
558: reward:  25.00, mean_100:  17.60, episodes: 30
572: reward:  13.00, mean_100:  17.45, episodes: 31
631: reward:  58.00, mean_100:  18.72, episodes: 32
667: reward:  35.00, mean_100:  19.21, episodes: 33
694: reward:  26.00, mean_100:  19.41, episodes: 34
722: reward:  27.00, mean_100:  19.63, episodes: 35
737: reward:  14.00, mean_100:  19.47, episodes: 36
840: reward: 102.00, mean_100:  21.70, episodes: 37
880: reward:  39.00, mean_100:  22.16, episodes: 38
912: reward:  31.00, mean_100:  22.38, episodes: 39
942: reward:  29.00, mean_100:  22.55, episodes: 40
989: reward:  46.00, mean_100:  23.12, episodes: 41
1024: reward:  34.00, mean_100:  23.38, episodes: 42
1093: reward:  68.00, mean_100:  24.42, episodes: 43
1123: reward:  29.00, mean_100:  24.52, episodes: 44
1162: reward:  38.00, mean_100:  24.82, episodes: 45
1209: reward:  46.00, mean_100:  25.28, episodes: 46
1255: reward:  45.00, mean_100:  25.70, episodes: 47
1320: reward:  64.00, mean_100:  26.50, episodes: 48
1353: reward:  32.00, mean_100:  26.61, episodes: 49
1395: reward:  41.00, mean_100:  26.90, episodes: 50
1426: reward:  30.00, mean_100:  26.96, episodes: 51
1453: reward:  26.00, mean_100:  26.94, episodes: 52
1515: reward:  61.00, mean_100:  27.58, episodes: 53
1555: reward:  39.00, mean_100:  27.80, episodes: 54
1596: reward:  40.00, mean_100:  28.02, episodes: 55
1659: reward:  62.00, mean_100:  28.62, episodes: 56
1712: reward:  52.00, mean_100:  29.04, episodes: 57
1782: reward:  69.00, mean_100:  29.72, episodes: 58
1852: reward:  69.00, mean_100:  30.39, episodes: 59
1910: reward:  57.00, mean_100:  30.83, episodes: 60
2009: reward:  98.00, mean_100:  31.93, episodes: 61
2073: reward:  63.00, mean_100:  32.44, episodes: 62
2123: reward:  49.00, mean_100:  32.70, episodes: 63
2157: reward:  33.00, mean_100:  32.70, episodes: 64
2223: reward:  65.00, mean_100:  33.20, episodes: 65
2283: reward:  59.00, mean_100:  33.59, episodes: 66
2420: reward: 136.00, mean_100:  35.12, episodes: 67
2455: reward:  34.00, mean_100:  35.10, episodes: 68
2526: reward:  70.00, mean_100:  35.61, episodes: 69
2606: reward:  79.00, mean_100:  36.23, episodes: 70
2650: reward:  43.00, mean_100:  36.32, episodes: 71
2753: reward: 102.00, mean_100:  37.24, episodes: 72
2813: reward:  59.00, mean_100:  37.53, episodes: 73
2866: reward:  52.00, mean_100:  37.73, episodes: 74
2942: reward:  75.00, mean_100:  38.23, episodes: 75
2967: reward:  24.00, mean_100:  38.04, episodes: 76
3023: reward:  55.00, mean_100:  38.26, episodes: 77
3058: reward:  34.00, mean_100:  38.21, episodes: 78
3108: reward:  49.00, mean_100:  38.34, episodes: 79
3127: reward:  18.00, mean_100:  38.09, episodes: 80
3204: reward:  76.00, mean_100:  38.56, episodes: 81
3276: reward:  71.00, mean_100:  38.95, episodes: 82
3328: reward:  51.00, mean_100:  39.10, episodes: 83
3385: reward:  56.00, mean_100:  39.30, episodes: 84
3414: reward:  28.00, mean_100:  39.16, episodes: 85
3457: reward:  42.00, mean_100:  39.20, episodes: 86
3572: reward: 114.00, mean_100:  40.06, episodes: 87
3656: reward:  83.00, mean_100:  40.55, episodes: 88
3694: reward:  37.00, mean_100:  40.51, episodes: 89
3797: reward: 102.00, mean_100:  41.19, episodes: 90
3857: reward:  59.00, mean_100:  41.38, episodes: 91
3907: reward:  49.00, mean_100:  41.47, episodes: 92
3935: reward:  27.00, mean_100:  41.31, episodes: 93
3991: reward:  55.00, mean_100:  41.46, episodes: 94
4050: reward:  58.00, mean_100:  41.63, episodes: 95
4116: reward:  65.00, mean_100:  41.88, episodes: 96
4229: reward: 112.00, mean_100:  42.60, episodes: 97
4343: reward: 113.00, mean_100:  43.32, episodes: 98
4436: reward:  92.00, mean_100:  43.81, episodes: 99
4473: reward:  36.00, mean_100:  43.73, episodes: 100
4595: reward: 121.00, mean_100:  44.81, episodes: 101
4672: reward:  76.00, mean_100:  45.31, episodes: 102
4715: reward:  42.00, mean_100:  45.56, episodes: 103
4767: reward:  51.00, mean_100:  45.86, episodes: 104
4873: reward: 105.00, mean_100:  46.79, episodes: 105
5000: reward: 126.00, mean_100:  47.90, episodes: 106
5128: reward: 127.00, mean_100:  49.01, episodes: 107
5246: reward: 117.00, mean_100:  49.98, episodes: 108
5350: reward: 103.00, mean_100:  50.89, episodes: 109
5400: reward:  49.00, mean_100:  51.29, episodes: 110
5537: reward: 136.00, mean_100:  52.53, episodes: 111
5586: reward:  48.00, mean_100:  52.80, episodes: 112
5693: reward: 106.00, mean_100:  53.72, episodes: 113
5849: reward: 155.00, mean_100:  55.06, episodes: 114
5963: reward: 113.00, mean_100:  56.07, episodes: 115
6100: reward: 136.00, mean_100:  57.29, episodes: 116
6201: reward: 100.00, mean_100:  58.00, episodes: 117
6309: reward: 107.00, mean_100:  58.88, episodes: 118
6471: reward: 161.00, mean_100:  60.34, episodes: 119
6526: reward:  54.00, mean_100:  60.73, episodes: 120
6586: reward:  59.00, mean_100:  61.22, episodes: 121
6644: reward:  57.00, mean_100:  61.45, episodes: 122
6692: reward:  47.00, mean_100:  61.78, episodes: 123
6762: reward:  69.00, mean_100:  62.29, episodes: 124
6790: reward:  27.00, mean_100:  62.47, episodes: 125
6975: reward: 184.00, mean_100:  64.17, episodes: 126
7104: reward: 128.00, mean_100:  65.26, episodes: 127
7152: reward:  47.00, mean_100:  65.39, episodes: 128
7177: reward:  24.00, mean_100:  65.45, episodes: 129
7217: reward:  39.00, mean_100:  65.59, episodes: 130
7292: reward:  74.00, mean_100:  66.20, episodes: 131
7360: reward:  67.00, mean_100:  66.29, episodes: 132
7410: reward:  49.00, mean_100:  66.43, episodes: 133
7450: reward:  39.00, mean_100:  66.56, episodes: 134
7602: reward: 151.00, mean_100:  67.80, episodes: 135
7714: reward: 111.00, mean_100:  68.77, episodes: 136
7742: reward:  27.00, mean_100:  68.02, episodes: 137
7775: reward:  32.00, mean_100:  67.95, episodes: 138
7820: reward:  44.00, mean_100:  68.08, episodes: 139
7956: reward: 135.00, mean_100:  69.14, episodes: 140
8031: reward:  74.00, mean_100:  69.42, episodes: 141
8052: reward:  20.00, mean_100:  69.28, episodes: 142
8253: reward: 200.00, mean_100:  70.60, episodes: 143
8308: reward:  54.00, mean_100:  70.85, episodes: 144
8370: reward:  61.00, mean_100:  71.08, episodes: 145
8491: reward: 120.00, mean_100:  71.82, episodes: 146
