PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
9208: reward: 200.00, mean_100:  87.86, episodes: 113
9409: reward: 200.00, mean_100:  89.55, episodes: 114
9610: reward: 200.00, mean_100:  91.30, episodes: 115
9811: reward: 200.00, mean_100:  93.07, episodes: 116
10012: reward: 200.00, mean_100:  94.83, episodes: 117
10213: reward: 200.00, mean_100:  96.51, episodes: 118
10414: reward: 200.00, mean_100:  98.32, episodes: 119
10615: reward: 200.00, mean_100: 100.12, episodes: 120
10745: reward: 129.00, mean_100: 101.12, episodes: 121
10945: reward: 199.00, mean_100: 102.86, episodes: 122
11146: reward: 200.00, mean_100: 104.57, episodes: 123
11279: reward: 132.00, mean_100: 105.31, episodes: 124
11480: reward: 200.00, mean_100: 106.89, episodes: 125
11653: reward: 172.00, mean_100: 108.36, episodes: 126
11821: reward: 167.00, mean_100: 109.58, episodes: 127
12022: reward: 200.00, mean_100: 111.35, episodes: 128
12188: reward: 165.00, mean_100: 112.82, episodes: 129
12377: reward: 188.00, mean_100: 114.22, episodes: 130
12578: reward: 200.00, mean_100: 116.03, episodes: 131
12779: reward: 200.00, mean_100: 117.76, episodes: 132
12980: reward: 200.00, mean_100: 119.41, episodes: 133
13181: reward: 200.00, mean_100: 120.92, episodes: 134
13372: reward: 190.00, mean_100: 122.43, episodes: 135
13573: reward: 200.00, mean_100: 124.09, episodes: 136
13774: reward: 200.00, mean_100: 125.90, episodes: 137
13975: reward: 200.00, mean_100: 127.69, episodes: 138
14162: reward: 186.00, mean_100: 129.29, episodes: 139
14363: reward: 200.00, mean_100: 130.77, episodes: 140
14564: reward: 200.00, mean_100: 132.06, episodes: 141
14765: reward: 200.00, mean_100: 133.83, episodes: 142
14966: reward: 200.00, mean_100: 135.61, episodes: 143
15167: reward: 200.00, mean_100: 137.44, episodes: 144
15368: reward: 200.00, mean_100: 139.25, episodes: 145
15569: reward: 200.00, mean_100: 141.00, episodes: 146
15770: reward: 200.00, mean_100: 142.80, episodes: 147
15971: reward: 200.00, mean_100: 144.07, episodes: 148
16172: reward: 200.00, mean_100: 145.63, episodes: 149
16373: reward: 200.00, mean_100: 147.33, episodes: 150
16574: reward: 200.00, mean_100: 149.18, episodes: 151
16775: reward: 200.00, mean_100: 150.50, episodes: 152
16907: reward: 131.00, mean_100: 151.49, episodes: 153
17108: reward: 200.00, mean_100: 153.04, episodes: 154
17228: reward: 119.00, mean_100: 153.17, episodes: 155
17429: reward: 200.00, mean_100: 154.14, episodes: 156
17630: reward: 200.00, mean_100: 155.55, episodes: 157
17831: reward: 200.00, mean_100: 156.80, episodes: 158
18032: reward: 200.00, mean_100: 157.83, episodes: 159
18233: reward: 200.00, mean_100: 159.52, episodes: 160
18434: reward: 200.00, mean_100: 159.97, episodes: 161
18635: reward: 200.00, mean_100: 161.40, episodes: 162
18836: reward: 200.00, mean_100: 162.05, episodes: 163
18965: reward: 128.00, mean_100: 161.61, episodes: 164
19166: reward: 200.00, mean_100: 162.98, episodes: 165
19339: reward: 172.00, mean_100: 164.11, episodes: 166
19540: reward: 200.00, mean_100: 165.46, episodes: 167
19732: reward: 191.00, mean_100: 166.98, episodes: 168
19933: reward: 200.00, mean_100: 167.87, episodes: 169
20043: reward: 109.00, mean_100: 168.55, episodes: 170
20176: reward: 132.00, mean_100: 169.22, episodes: 171
20365: reward: 188.00, mean_100: 170.86, episodes: 172
20499: reward: 133.00, mean_100: 170.19, episodes: 173
20523: reward:  23.00, mean_100: 169.00, episodes: 174
20625: reward: 101.00, mean_100: 169.45, episodes: 175
20779: reward: 153.00, mean_100: 170.20, episodes: 176
20947: reward: 167.00, mean_100: 169.87, episodes: 177
21080: reward: 132.00, mean_100: 169.19, episodes: 178
21189: reward: 108.00, mean_100: 169.06, episodes: 179
21281: reward:  91.00, mean_100: 169.65, episodes: 180
21381: reward:  99.00, mean_100: 170.31, episodes: 181
21462: reward:  80.00, mean_100: 169.11, episodes: 182
21577: reward: 114.00, mean_100: 168.25, episodes: 183
21708: reward: 130.00, mean_100: 168.76, episodes: 184
21831: reward: 122.00, mean_100: 169.01, episodes: 185
21947: reward: 115.00, mean_100: 168.75, episodes: 186
22050: reward: 102.00, mean_100: 167.84, episodes: 187
22077: reward:  26.00, mean_100: 166.58, episodes: 188
22264: reward: 186.00, mean_100: 166.98, episodes: 189
22442: reward: 177.00, mean_100: 166.75, episodes: 190
22611: reward: 168.00, mean_100: 166.43, episodes: 191
22738: reward: 126.00, mean_100: 166.92, episodes: 192
22939: reward: 200.00, mean_100: 166.92, episodes: 193
23140: reward: 200.00, mean_100: 167.58, episodes: 194
23294: reward: 153.00, mean_100: 168.31, episodes: 195
23429: reward: 134.00, mean_100: 168.41, episodes: 196
23567: reward: 137.00, mean_100: 169.05, episodes: 197
23718: reward: 150.00, mean_100: 170.18, episodes: 198
23891: reward: 172.00, mean_100: 170.60, episodes: 199
24026: reward: 134.00, mean_100: 169.94, episodes: 200
24164: reward: 137.00, mean_100: 169.31, episodes: 201
24287: reward: 122.00, mean_100: 168.53, episodes: 202
24488: reward: 200.00, mean_100: 168.53, episodes: 203
24671: reward: 182.00, mean_100: 168.35, episodes: 204
24806: reward: 134.00, mean_100: 167.69, episodes: 205
24957: reward: 150.00, mean_100: 168.33, episodes: 206
25124: reward: 166.00, mean_100: 168.05, episodes: 207
