PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
16: reward:  15.00, mean_100:  15.00, episodes: 1
28: reward:  11.00, mean_100:  13.00, episodes: 2
46: reward:  17.00, mean_100:  14.33, episodes: 3
77: reward:  30.00, mean_100:  18.25, episodes: 4
96: reward:  18.00, mean_100:  18.20, episodes: 5
112: reward:  15.00, mean_100:  17.67, episodes: 6
128: reward:  15.00, mean_100:  17.29, episodes: 7
168: reward:  39.00, mean_100:  20.00, episodes: 8
229: reward:  60.00, mean_100:  24.44, episodes: 9
250: reward:  20.00, mean_100:  24.00, episodes: 10
278: reward:  27.00, mean_100:  24.27, episodes: 11
343: reward:  64.00, mean_100:  27.58, episodes: 12
359: reward:  15.00, mean_100:  26.62, episodes: 13
374: reward:  14.00, mean_100:  25.71, episodes: 14
388: reward:  13.00, mean_100:  24.87, episodes: 15
403: reward:  14.00, mean_100:  24.19, episodes: 16
442: reward:  38.00, mean_100:  25.00, episodes: 17
462: reward:  19.00, mean_100:  24.67, episodes: 18
482: reward:  19.00, mean_100:  24.37, episodes: 19
498: reward:  15.00, mean_100:  23.90, episodes: 20
522: reward:  23.00, mean_100:  23.86, episodes: 21
544: reward:  21.00, mean_100:  23.73, episodes: 22
580: reward:  35.00, mean_100:  24.22, episodes: 23
610: reward:  29.00, mean_100:  24.42, episodes: 24
629: reward:  18.00, mean_100:  24.16, episodes: 25
645: reward:  15.00, mean_100:  23.81, episodes: 26
693: reward:  47.00, mean_100:  24.67, episodes: 27
778: reward:  84.00, mean_100:  26.79, episodes: 28
816: reward:  37.00, mean_100:  27.14, episodes: 29
842: reward:  25.00, mean_100:  27.07, episodes: 30
880: reward:  37.00, mean_100:  27.39, episodes: 31
907: reward:  26.00, mean_100:  27.34, episodes: 32
935: reward:  27.00, mean_100:  27.33, episodes: 33
962: reward:  26.00, mean_100:  27.29, episodes: 34
997: reward:  34.00, mean_100:  27.49, episodes: 35
1036: reward:  38.00, mean_100:  27.78, episodes: 36
1073: reward:  36.00, mean_100:  28.00, episodes: 37
1103: reward:  29.00, mean_100:  28.03, episodes: 38
1119: reward:  15.00, mean_100:  27.69, episodes: 39
1163: reward:  43.00, mean_100:  28.07, episodes: 40
1176: reward:  12.00, mean_100:  27.68, episodes: 41
1211: reward:  34.00, mean_100:  27.83, episodes: 42
1242: reward:  30.00, mean_100:  27.88, episodes: 43
1299: reward:  56.00, mean_100:  28.52, episodes: 44
1321: reward:  21.00, mean_100:  28.36, episodes: 45
1448: reward: 126.00, mean_100:  30.48, episodes: 46
1486: reward:  37.00, mean_100:  30.62, episodes: 47
1545: reward:  58.00, mean_100:  31.19, episodes: 48
1572: reward:  26.00, mean_100:  31.08, episodes: 49
1607: reward:  34.00, mean_100:  31.14, episodes: 50
1647: reward:  39.00, mean_100:  31.29, episodes: 51
1666: reward:  18.00, mean_100:  31.04, episodes: 52
1704: reward:  37.00, mean_100:  31.15, episodes: 53
1733: reward:  28.00, mean_100:  31.09, episodes: 54
1757: reward:  23.00, mean_100:  30.95, episodes: 55
1819: reward:  61.00, mean_100:  31.48, episodes: 56
1928: reward: 108.00, mean_100:  32.82, episodes: 57
1974: reward:  45.00, mean_100:  33.03, episodes: 58
2016: reward:  41.00, mean_100:  33.17, episodes: 59
2054: reward:  37.00, mean_100:  33.23, episodes: 60
2097: reward:  42.00, mean_100:  33.38, episodes: 61
2151: reward:  53.00, mean_100:  33.69, episodes: 62
2190: reward:  38.00, mean_100:  33.76, episodes: 63
2255: reward:  64.00, mean_100:  34.23, episodes: 64
2309: reward:  53.00, mean_100:  34.52, episodes: 65
2341: reward:  31.00, mean_100:  34.47, episodes: 66
2396: reward:  54.00, mean_100:  34.76, episodes: 67
2424: reward:  27.00, mean_100:  34.65, episodes: 68
2476: reward:  51.00, mean_100:  34.88, episodes: 69
2513: reward:  36.00, mean_100:  34.90, episodes: 70
2560: reward:  46.00, mean_100:  35.06, episodes: 71
2594: reward:  33.00, mean_100:  35.03, episodes: 72
2667: reward:  72.00, mean_100:  35.53, episodes: 73
2719: reward:  51.00, mean_100:  35.74, episodes: 74
2754: reward:  34.00, mean_100:  35.72, episodes: 75
2825: reward:  70.00, mean_100:  36.17, episodes: 76
2857: reward:  31.00, mean_100:  36.10, episodes: 77
2981: reward: 123.00, mean_100:  37.22, episodes: 78
3017: reward:  35.00, mean_100:  37.19, episodes: 79
3069: reward:  51.00, mean_100:  37.36, episodes: 80
3114: reward:  44.00, mean_100:  37.44, episodes: 81
3180: reward:  65.00, mean_100:  37.78, episodes: 82
3219: reward:  38.00, mean_100:  37.78, episodes: 83
3258: reward:  38.00, mean_100:  37.79, episodes: 84
3321: reward:  62.00, mean_100:  38.07, episodes: 85
3361: reward:  39.00, mean_100:  38.08, episodes: 86
3453: reward:  91.00, mean_100:  38.69, episodes: 87
3522: reward:  68.00, mean_100:  39.02, episodes: 88
3633: reward: 110.00, mean_100:  39.82, episodes: 89
3771: reward: 137.00, mean_100:  40.90, episodes: 90
3842: reward:  70.00, mean_100:  41.22, episodes: 91
4002: reward: 159.00, mean_100:  42.50, episodes: 92
4064: reward:  61.00, mean_100:  42.70, episodes: 93
4130: reward:  65.00, mean_100:  42.94, episodes: 94
4196: reward:  65.00, mean_100:  43.17, episodes: 95
4255: reward:  58.00, mean_100:  43.32, episodes: 96
4326: reward:  70.00, mean_100:  43.60, episodes: 97
4421: reward:  94.00, mean_100:  44.11, episodes: 98
4514: reward:  92.00, mean_100:  44.60, episodes: 99
4556: reward:  41.00, mean_100:  44.56, episodes: 100
4626: reward:  69.00, mean_100:  45.10, episodes: 101
4723: reward:  96.00, mean_100:  45.95, episodes: 102
4794: reward:  70.00, mean_100:  46.48, episodes: 103
4855: reward:  60.00, mean_100:  46.78, episodes: 104
4954: reward:  98.00, mean_100:  47.58, episodes: 105
5056: reward: 101.00, mean_100:  48.44, episodes: 106
5136: reward:  79.00, mean_100:  49.08, episodes: 107
5335: reward: 198.00, mean_100:  50.67, episodes: 108
5403: reward:  67.00, mean_100:  50.74, episodes: 109
5467: reward:  63.00, mean_100:  51.17, episodes: 110
5508: reward:  40.00, mean_100:  51.30, episodes: 111
5591: reward:  82.00, mean_100:  51.48, episodes: 112
5728: reward: 136.00, mean_100:  52.69, episodes: 113
5812: reward:  83.00, mean_100:  53.38, episodes: 114
5908: reward:  95.00, mean_100:  54.20, episodes: 115
5983: reward:  74.00, mean_100:  54.80, episodes: 116
6089: reward: 105.00, mean_100:  55.47, episodes: 117
6187: reward:  97.00, mean_100:  56.25, episodes: 118
6298: reward: 110.00, mean_100:  57.16, episodes: 119
6383: reward:  84.00, mean_100:  57.85, episodes: 120
6485: reward: 101.00, mean_100:  58.63, episodes: 121
6646: reward: 160.00, mean_100:  60.02, episodes: 122
6762: reward: 115.00, mean_100:  60.82, episodes: 123
6802: reward:  39.00, mean_100:  60.92, episodes: 124
7003: reward: 200.00, mean_100:  62.74, episodes: 125
7148: reward: 144.00, mean_100:  64.03, episodes: 126
7301: reward: 152.00, mean_100:  65.08, episodes: 127
7454: reward: 152.00, mean_100:  65.76, episodes: 128
7593: reward: 138.00, mean_100:  66.77, episodes: 129
7794: reward: 200.00, mean_100:  68.52, episodes: 130
7995: reward: 200.00, mean_100:  70.15, episodes: 131
8196: reward: 200.00, mean_100:  71.89, episodes: 132
8397: reward: 200.00, mean_100:  73.62, episodes: 133
8507: reward: 109.00, mean_100:  74.45, episodes: 134
8581: reward:  73.00, mean_100:  74.84, episodes: 135
8710: reward: 128.00, mean_100:  75.74, episodes: 136
8903: reward: 192.00, mean_100:  77.30, episodes: 137
9050: reward: 146.00, mean_100:  78.47, episodes: 138
9180: reward: 129.00, mean_100:  79.61, episodes: 139
9328: reward: 147.00, mean_100:  80.65, episodes: 140
9496: reward: 167.00, mean_100:  82.20, episodes: 141
9604: reward: 107.00, mean_100:  82.93, episodes: 142
9805: reward: 200.00, mean_100:  84.63, episodes: 143
9932: reward: 126.00, mean_100:  85.33, episodes: 144
10068: reward: 135.00, mean_100:  86.47, episodes: 145
10269: reward: 200.00, mean_100:  87.21, episodes: 146
