steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl	average_policy_step_size
951317	373	3122.0304822921753	733.0	655.0	253.5547278202479	1220.0	460.0	104.868	1.5811049674153328	0.004248123564757407	1.0
1001583	391	3294.7361390590668	795.0	650.0	390.9035118230016	1640.0	400.0	129.0983	1.8353182390928269	0.004226444168016315	1.0
1052906	410	3464.3496658802032	687.0	665.0	200.94498970835002	1140.0	470.0	107.309326	1.8532880928516389	0.004197256732732057	1.0
1100205	429	3626.1889414787292	843.0	755.0	391.06833730748957	1430.0	300.0	-14.847005	1.7787248312234878	0.004221873951610178	1.0
1151136	448	3794.4346969127655	1116.0	900.0	853.7394866767679	3440.0	570.0	63.07803	1.5674406784772872	0.004208887130953371	1.0
1200211	467	3961.2740437984467	1010.0	890.0	343.93151773120314	1560.0	580.0	33.107574	1.6322531440258026	0.004178029652684927	1.0
1251630	486	4131.934267759323	738.0	805.0	195.2662000677252	980.0	310.0	108.590904	1.6479246824979783	0.0041598303592763845	1.0
1300592	504	4297.586353302002	733.0	730.0	169.70890109570303	1120.0	510.0	40.456985	1.5279141175150872	0.004138934451621026	1.0
1350994	522	4461.883026599884	710.0	650.0	246.48642063114866	1360.0	450.0	19.907282	1.625772675395012	0.00412922530900687	1.0
1400114	538	4625.598573923111	923.0	915.0	265.16451916163714	1240.0	510.0	15.562901	1.8729940062761308	0.004115348029881716	1.0
1452605	557	4801.873396396637	1012.0	1055.0	325.5695863491483	1410.0	520.0	192.4425	1.4411707502007485	0.004112807468045503	1.0
1501878	574	4960.126976013184	742.0	665.0	349.6601524655365	1380.0	240.0	125.351006	1.666484963774681	0.004094427337404341	1.0
1550423	591	5119.920708179474	1121.0	830.0	598.5436027930166	2000.0	580.0	36.497955	1.4173455783724784	0.004123045729938895	1.0
1602835	611	5294.403275728226	1277.0	1000.0	867.845992481769	3480.0	460.0	97.882576	1.551431611418724	0.004151310371235013	1.0
1651341	629	5461.391617774963	981.0	915.0	429.79193932775325	1910.0	470.0	128.42648	1.3888169836997986	0.004144084709696472	1.0
1702784	648	5631.344230175018	1058.0	925.0	465.2788888875622	2120.0	620.0	93.917915	1.2396360247135163	0.004157530514057726	1.0
1751434	666	5795.185132026672	1027.0	900.0	411.23256464222555	1830.0	530.0	199.19653	1.4266425738334656	0.004180292228702456	1.0
1802163	683	5962.42324590683	986.0	840.0	404.6177894699584	1990.0	670.0	118.79383	1.5485436394810677	0.004212389911990613	1.0
1851348	700	6126.976082324982	1017.0	880.0	542.9149718571654	1950.0	260.0	123.395004	1.3352963693737985	0.004232605784200132	1.0
1902142	718	6299.838204860687	1208.0	1090.0	540.5922677952395	2180.0	580.0	123.336075	1.5398429241776466	0.004257334629073739	1.0
1950521	737	6461.663996458054	1006.0	975.0	355.50277386009554	1610.0	440.0	156.24377	1.285459624581039	0.00425449282862246	1.0
