PGN(
  (net): Sequential(
    (0): Linear(in_features=4, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=2, bias=True)
  )
)
16: reward:  15.00, mean_100:  15.00, episodes: 1
31: reward:  14.00, mean_100:  14.50, episodes: 2
51: reward:  19.00, mean_100:  16.00, episodes: 3
61: reward:  10.00, mean_100:  14.50, episodes: 4
84: reward:  22.00, mean_100:  16.00, episodes: 5
101: reward:  16.00, mean_100:  16.00, episodes: 6
149: reward:  47.00, mean_100:  20.43, episodes: 7
181: reward:  31.00, mean_100:  21.75, episodes: 8
208: reward:  26.00, mean_100:  22.22, episodes: 9
218: reward:  10.00, mean_100:  21.00, episodes: 10
237: reward:  18.00, mean_100:  20.73, episodes: 11
252: reward:  14.00, mean_100:  20.17, episodes: 12
265: reward:  12.00, mean_100:  19.54, episodes: 13
286: reward:  20.00, mean_100:  19.57, episodes: 14
304: reward:  17.00, mean_100:  19.40, episodes: 15
321: reward:  16.00, mean_100:  19.19, episodes: 16
334: reward:  12.00, mean_100:  18.76, episodes: 17
378: reward:  43.00, mean_100:  20.11, episodes: 18
405: reward:  26.00, mean_100:  20.42, episodes: 19
444: reward:  38.00, mean_100:  21.30, episodes: 20
462: reward:  17.00, mean_100:  21.10, episodes: 21
507: reward:  44.00, mean_100:  22.14, episodes: 22
531: reward:  23.00, mean_100:  22.17, episodes: 23
624: reward:  92.00, mean_100:  25.08, episodes: 24
664: reward:  39.00, mean_100:  25.64, episodes: 25
684: reward:  19.00, mean_100:  25.38, episodes: 26
763: reward:  78.00, mean_100:  27.33, episodes: 27
831: reward:  67.00, mean_100:  28.75, episodes: 28
845: reward:  13.00, mean_100:  28.21, episodes: 29
879: reward:  33.00, mean_100:  28.37, episodes: 30
939: reward:  59.00, mean_100:  29.35, episodes: 31
1037: reward:  97.00, mean_100:  31.47, episodes: 32
1071: reward:  33.00, mean_100:  31.52, episodes: 33
1099: reward:  27.00, mean_100:  31.38, episodes: 34
1123: reward:  23.00, mean_100:  31.14, episodes: 35
1156: reward:  32.00, mean_100:  31.17, episodes: 36
1179: reward:  22.00, mean_100:  30.92, episodes: 37
1248: reward:  68.00, mean_100:  31.89, episodes: 38
1279: reward:  30.00, mean_100:  31.85, episodes: 39
1321: reward:  41.00, mean_100:  32.08, episodes: 40
1337: reward:  15.00, mean_100:  31.66, episodes: 41
1376: reward:  38.00, mean_100:  31.81, episodes: 42
1406: reward:  29.00, mean_100:  31.74, episodes: 43
1419: reward:  12.00, mean_100:  31.30, episodes: 44
1441: reward:  21.00, mean_100:  31.07, episodes: 45
1470: reward:  28.00, mean_100:  31.00, episodes: 46
1532: reward:  61.00, mean_100:  31.64, episodes: 47
1596: reward:  63.00, mean_100:  32.29, episodes: 48
1641: reward:  44.00, mean_100:  32.53, episodes: 49
1668: reward:  26.00, mean_100:  32.40, episodes: 50
1689: reward:  20.00, mean_100:  32.16, episodes: 51
1702: reward:  12.00, mean_100:  31.77, episodes: 52
1734: reward:  31.00, mean_100:  31.75, episodes: 53
1811: reward:  76.00, mean_100:  32.57, episodes: 54
1846: reward:  34.00, mean_100:  32.60, episodes: 55
1870: reward:  23.00, mean_100:  32.43, episodes: 56
1928: reward:  57.00, mean_100:  32.86, episodes: 57
1946: reward:  17.00, mean_100:  32.59, episodes: 58
1971: reward:  24.00, mean_100:  32.44, episodes: 59
1988: reward:  16.00, mean_100:  32.17, episodes: 60
2079: reward:  90.00, mean_100:  33.11, episodes: 61
2106: reward:  26.00, mean_100:  33.00, episodes: 62
2150: reward:  43.00, mean_100:  33.16, episodes: 63
2185: reward:  34.00, mean_100:  33.17, episodes: 64
2216: reward:  30.00, mean_100:  33.12, episodes: 65
2243: reward:  26.00, mean_100:  33.02, episodes: 66
2269: reward:  25.00, mean_100:  32.90, episodes: 67
2354: reward:  84.00, mean_100:  33.65, episodes: 68
2379: reward:  24.00, mean_100:  33.51, episodes: 69
2404: reward:  24.00, mean_100:  33.37, episodes: 70
2459: reward:  54.00, mean_100:  33.66, episodes: 71
2516: reward:  56.00, mean_100:  33.97, episodes: 72
2556: reward:  39.00, mean_100:  34.04, episodes: 73
2586: reward:  29.00, mean_100:  33.97, episodes: 74
2631: reward:  44.00, mean_100:  34.11, episodes: 75
2691: reward:  59.00, mean_100:  34.43, episodes: 76
2760: reward:  68.00, mean_100:  34.87, episodes: 77
2791: reward:  30.00, mean_100:  34.81, episodes: 78
2846: reward:  54.00, mean_100:  35.05, episodes: 79
2911: reward:  64.00, mean_100:  35.41, episodes: 80
2966: reward:  54.00, mean_100:  35.64, episodes: 81
3013: reward:  46.00, mean_100:  35.77, episodes: 82
3046: reward:  32.00, mean_100:  35.72, episodes: 83
3110: reward:  63.00, mean_100:  36.05, episodes: 84
3149: reward:  38.00, mean_100:  36.07, episodes: 85
3170: reward:  20.00, mean_100:  35.88, episodes: 86
3210: reward:  39.00, mean_100:  35.92, episodes: 87
3278: reward:  67.00, mean_100:  36.27, episodes: 88
3318: reward:  39.00, mean_100:  36.30, episodes: 89
3362: reward:  43.00, mean_100:  36.38, episodes: 90
3392: reward:  29.00, mean_100:  36.30, episodes: 91
3426: reward:  33.00, mean_100:  36.26, episodes: 92
3448: reward:  21.00, mean_100:  36.10, episodes: 93
3514: reward:  65.00, mean_100:  36.40, episodes: 94
3565: reward:  50.00, mean_100:  36.55, episodes: 95
3583: reward:  17.00, mean_100:  36.34, episodes: 96
3614: reward:  30.00, mean_100:  36.28, episodes: 97
3652: reward:  37.00, mean_100:  36.29, episodes: 98
3665: reward:  12.00, mean_100:  36.04, episodes: 99
3687: reward:  21.00, mean_100:  35.89, episodes: 100
3700: reward:  12.00, mean_100:  35.86, episodes: 101
3732: reward:  31.00, mean_100:  36.03, episodes: 102
3799: reward:  66.00, mean_100:  36.50, episodes: 103
3822: reward:  22.00, mean_100:  36.62, episodes: 104
3853: reward:  30.00, mean_100:  36.70, episodes: 105
3886: reward:  32.00, mean_100:  36.86, episodes: 106
3906: reward:  19.00, mean_100:  36.58, episodes: 107
3931: reward:  24.00, mean_100:  36.51, episodes: 108
3967: reward:  35.00, mean_100:  36.60, episodes: 109
4007: reward:  39.00, mean_100:  36.89, episodes: 110
4027: reward:  19.00, mean_100:  36.90, episodes: 111
4055: reward:  27.00, mean_100:  37.03, episodes: 112
4084: reward:  28.00, mean_100:  37.19, episodes: 113
4104: reward:  19.00, mean_100:  37.18, episodes: 114
4122: reward:  17.00, mean_100:  37.18, episodes: 115
4146: reward:  23.00, mean_100:  37.25, episodes: 116
4191: reward:  44.00, mean_100:  37.57, episodes: 117
4221: reward:  29.00, mean_100:  37.43, episodes: 118
4248: reward:  26.00, mean_100:  37.43, episodes: 119
4290: reward:  41.00, mean_100:  37.46, episodes: 120
4327: reward:  36.00, mean_100:  37.65, episodes: 121
4347: reward:  19.00, mean_100:  37.40, episodes: 122
4374: reward:  26.00, mean_100:  37.43, episodes: 123
4398: reward:  23.00, mean_100:  36.74, episodes: 124
4436: reward:  37.00, mean_100:  36.72, episodes: 125
4459: reward:  22.00, mean_100:  36.75, episodes: 126
4496: reward:  36.00, mean_100:  36.33, episodes: 127
4551: reward:  54.00, mean_100:  36.20, episodes: 128
4571: reward:  19.00, mean_100:  36.26, episodes: 129
4601: reward:  29.00, mean_100:  36.22, episodes: 130
4624: reward:  22.00, mean_100:  35.85, episodes: 131
4681: reward:  56.00, mean_100:  35.44, episodes: 132
4702: reward:  20.00, mean_100:  35.31, episodes: 133
4724: reward:  21.00, mean_100:  35.25, episodes: 134
4760: reward:  35.00, mean_100:  35.37, episodes: 135
4786: reward:  25.00, mean_100:  35.30, episodes: 136
4824: reward:  37.00, mean_100:  35.45, episodes: 137
4845: reward:  20.00, mean_100:  34.97, episodes: 138
4924: reward:  78.00, mean_100:  35.45, episodes: 139
4957: reward:  32.00, mean_100:  35.36, episodes: 140
5001: reward:  43.00, mean_100:  35.64, episodes: 141
5068: reward:  66.00, mean_100:  35.92, episodes: 142
5119: reward:  50.00, mean_100:  36.13, episodes: 143
5185: reward:  65.00, mean_100:  36.66, episodes: 144
5204: reward:  18.00, mean_100:  36.63, episodes: 145
5228: reward:  23.00, mean_100:  36.58, episodes: 146
